hashtag,count
kashmir,33439
pakistan,12387
indianarmy,6447
india,5737
covid19,4156
greenforkashmir,3781
kashmiri,3344
srinagar,3291
pakistanarmy,3039
china,2937
balochistan,2880
redforkashmir,2655
baramulla,2324
kashmiris,2018
nayakashmir,1913
windsofchange,1866
kashmirlovesgreen,1824
noukasheer,1665
kashmirvalley,1532
yomeumeed,1531
5thaugust,1529
jammuandkashmir,1490
pakistani,1468
army,1424
kashmirnormalcy,1383
todaymotivation,1262
kupwara,1246
kashmirfortiranga,1203
olympics,1202
kashmirwantsfreedom,1094
indian,1093
jammu,1038
pakterrorstate,999
pulwama,995
terrorism,969
mondaymotivation,963
terrorists,942
kshmirbleedsgreen,918
bangladesh,910
kashmirhopepeace,886
mondaythoughts,841
freebalochistan,802
kashmirbleeds,800
kashmirrejectsterrorism,799
kashmirbleedsgreen,782
bsf,761
ramadan,751
kashmirblossoming,735
baloch,730
breaking,727
covid,719
wednesdaymotivation,718
kashmirresistanceday,716
youth,714
kashmirilivesmatter,685
coronavirus,682
heroofkashmir,670
tuesdaymotivations,665
terrorist,652
sports,637
ccp,635
imrankhan,634
kashmirunrest,624
chinese,607
gilgitbaltistan,596
pak,594
love,583
propagandist,582
islam,578
gulmarg,577
quran,577
kargilvijaydiwas,570
wednesdaythought,567
valley,564
covid_19,559
14febpulwamabravehearts,558
merakashmirbadalrahahai,555
jaihind,554
afghanistan,544
womenempowerment,544
islamic,543
beautiful,542
kashmiripandits,538
pok,535
saturdaymotivation,528
nayapakistan,527
kashmiriyouth,526
nature,524
propaganda,522
indianarmyforawaam,521
thursdaythoughts,518
balochistanisnotpakistan,511
uyghurs,508
therealwani,506
shopian,501
development,497
humsaya,491
balakotairstrike,490
allah,490
moujkasheer,489
kashmirmartyrsday,488
awaam,483
fridaymorning,481
breakingnews,479
pakbecomingchinesecolony,476
cricket,474
niaziiscorona,472
blacklistpakistan,469
terror,468
indianarmypeoplesarmy,465
dua,464
jammukashmir,456
anantnag,455
dogecoin,449
fridaymotivation,448
peace,447
indiafightscorona,446
paksurrenderday,433
terrorismfreekashmir,427
saturdaythoughts,423
heroofkashmirwani,421
taliban,418
bandipora,417
kashmirprideofindia,415
fake,414
australia,399
20yearsofkargilvijay,399
kashmiragainstterror,395
pakarmy,395
shaheednawabakbarbugti,392
women,379
burhanwani,377
muslim,374
13july1931,372
freepalestine,372
allahuakbar,367
kashmirsolidaritywithindia,366
kashmirsos,365
fridaythoughts,363
article370,362
ladakh,360
burhanwaniday,353
kashmirarmykesaath,352
tuesdayvibe,351
sundaymotivation,351
sundayvibes,350
lockdown,349
thursdaymorning,348
tral,348
jk,347
jummahmubarak,347
humanrights,343
kulgam,342
education,341
pakbutchersofkashmir,340
17marchmassacre,338
burhanmartyrday,338
neverforgetshaheedsiraj,335
thursdaymotivation,335
goodmorning,335
j,334
children,333
kashmiriyat,333
kashmirbleed,328
lahore,328
sopore,325
instigator,325
tourism,325
france,324
us,324
friends,321
iampulwama,317
uighurs,316
news,310
kashmirnews,310
kpk,309
ramadanmubarak,309
snowfall,307
sindhudesh,303
dontforgetpak2611,302
kargil,302
fatf,301
rashtriyaektadiwas,297
covid19india,295
photography,293
hindu,291
freekashmir,291
corona,289
terroristsinfectedwithcorona,287
beautyofkashmir,287
pakgenocide,283
tuesdaythoughts,283
thursdayvibes,281
sanctionpakistan,280
chinesevirus,279
chinarcorps,276
aslamualakum,276
muslimah,276
xinjiang,272
budgam,272
terroristnationpakistan,271
stayhome,271
terrormindsetpakarmy,270
heavenonearth,270
happykashmir,269
kashmirhistory,268
cpec,265
kashmirlovesindia,259
muslims,257
bringbackthepandits,256
police,254
armyawaamconnect,253
uyghur,252
jummamubarak,252
derabugti,251
palestine,251
plafakevideo,251
